TableID,TableName,Name,DataType,Size,Nullable,Description,IsInCSV,Scrambled
3001000,Team,TeamID,integer,32,False,The auto-generated unique ID of the Team,True,False
3001000,Team,[Key],string,10,False,Abbreviation of the team (e.g. LAL; PHI; BOS; CHI; etc.),True,False
3001000,Team,Active,boolean,,False,Whether or not this team is active,True,False
3001000,Team,City,string,50,True,The city/location of the team (e.g. Los Angeles; Philadelphia; Boston; Chicago; etc.),True,False
3001000,Team,Name,string,50,True,The mascot of the team (e.g. Lakers; 76ers; Celtics; Bulls; etc.),True,False
3001000,Team,LeagueID,integer,32,True,The league of the team (possible values: Eastern; Western),True,False
3001000,Team,StadiumID,integer,32,True,The unique ID of the team's current home stadium,True,False
3001000,Team,Conference,string,20,True,The conference of the team (possible values: Eastern; Western),True,False
3001000,Team,Division,string,20,True,The division of the team (e.g. Atlantic; Central; Southeast; etc),True,False
3001000,Team,PrimaryColor,string,6,True,The team's primary color. (This is not licensed for public or commercial use),True,False
3001000,Team,SecondaryColor,string,6,True,The team's secondary color. (This is not licensed for public or commercial use),True,False
3001000,Team,TertiaryColor,string,6,True,The team's tertiary color. (This is not licensed for public or commercial use),True,False
3001000,Team,QuaternaryColor,string,6,True,The team's quaternary color. (This is not licensed for public or commercial use),True,False
3001000,Team,WikipediaLogoUrl,string,250,True,The link to the team's logo hosted on Wikipedia. (This is not licensed for public or commercial use),True,False
3001000,Team,WikipediaWordMarkUrl,string,250,True,The link to the team's wordmark logo hosted on Wikipedia. (This is not licensed for public or commercial use),True,False
3001000,Team,GlobalTeamID,integer,32,False,A globally unique ID for this team. This value is guaranteed to be unique across all sports/leagues.,False,False
3001000,Team,NbaDotComTeamID,integer,32,True,The team's ID on nba dot com,True,False
3002000,Stadium,StadiumID,integer,32,False,The unique ID of the stadium,True,False
3002000,Stadium,Active,boolean,,False,Whether or not this stadium is the home venue for an active team,True,False
3002000,Stadium,Name,string,50,False,The full name of the stadium,True,False
3002000,Stadium,Address,string,50,True,The address where the stadium is located,True,False
3002000,Stadium,City,string,50,True,The city where the stadium is located,True,False
3002000,Stadium,State,string,10,True,The US state where the stadium is located (if Stadium is outside US; this value is NULL),True,False
3002000,Stadium,Zip,string,10,True,The zip code of the stadium,True,False
3002000,Stadium,Country,string,10,True,The 2-digit country code where the stadium is located,True,False
3002000,Stadium,Capacity,integer,32,True,The estimated seating capacity of the stadium,True,False
3002000,Stadium,GeoLat,decimal,32,True,The geographic latitude coordinate of this venue.,True,False
3002000,Stadium,GeoLong,decimal,32,True,The geographic longitude coordinate of this venue.,True,False
3003000,Game,GameID,integer,32,False,The unique ID of this game,True,False
3003000,Game,Season,integer,32,False,The NBA season of the game,True,False
3003000,Game,SeasonType,integer,32,False,The type of season that this record corresponds to (1=Regular Season; 2=Preseason; 3=Playoffs).,True,False
3003000,Game,Status,string,20,True,Indicates the game's status. Possible values include: Scheduled; InProgress; Final; F/OT; Suspended; Postponed; Canceled,True,False
3003000,Game,Day,date,,True,The date of the game,True,False
3003000,Game,DateTime,datetime,,True,The date and time of the game,True,False
3003000,Game,AwayTeam,string,10,False,The abbreviation of the Away Team,True,False
3003000,Game,HomeTeam,string,10,False,The abbreviation of the Home Team,True,False
3003000,Game,AwayTeamID,integer,32,False,The unique ID of the away team,True,False
3003000,Game,HomeTeamID,integer,32,False,The unique ID of the home team,True,False
3003000,Game,StadiumID,integer,32,True,The unique ID of the stadium,True,False
3003000,Game,Channel,string,10,True,The television station broadcasting the game,True,False
3003000,Game,Attendance,integer,32,True,Total number of people who attended the game,True,False
3003000,Game,AwayTeamScore,integer,32,True,Number of points the away scored in this game,True,True
3003000,Game,HomeTeamScore,integer,32,True,Number of points the home scored in this game,True,True
3003000,Game,Updated,datetime,,True,The timestamp of when the record was last updated (US Eastern Time).,True,False
3003000,Game,Quarter,string,10,True,The current quarter in the game. Possible values include: 1; 2; 3; 4; Half; OT; NULL,True,False
3003000,Game,TimeRemainingMinutes,integer,32,True,Number of minutes remaining in the quarter,True,False
3003000,Game,TimeRemainingSeconds,integer,32,True,Number of seconds remaining in the quarter,True,False
3003000,Game,PointSpread,decimal,32,True,The oddsmaker Point Spread at game start from the perspective of the HomeTeam (negative numbers indicate the HomeTeam is favored; positive numbers indicate the AwayTeam is favored),True,True
3003000,Game,OverUnder,decimal,32,True,The oddsmaker Over/Under at game start,True,True
3003000,Game,AwayTeamMoneyLine,integer,32,True,Money line from the perspective of the away team,True,True
3003000,Game,HomeTeamMoneyLine,integer,32,True,Money line from the perspective of the home team,True,True
3003000,Game,GlobalGameID,integer,32,False,A globally unique ID for this game. This value is guaranteed to be unique across all sports/leagues.,False,False
3003000,Game,GlobalAwayTeamID,integer,32,False,A globally unique ID for the away team. This value is guaranteed to be unique across all sports/leagues.,False,False
3003000,Game,GlobalHomeTeamID,integer,32,False,A globally unique ID for the home team. This value is guaranteed to be unique across all sports/leagues.,False,False
3003000,Game,PointSpreadAwayTeamMoneyLine,integer,32,True,The money line payout odds when betting on the away team with the point spread,True,True
