href;tomatometer;audience_score;genre;director;runtime;studio;cast;date
https://www.rottentomatoes.com/m/aladdin;57;94;Action & Adventure|Kids & Family|Science Fiction & Fantasy;Guy Ritchie;128 minutes;Walt Disney Pictures;Will Smith|Mena Massoud|Naomi Scott|Marwan Kenzari|Billy Magnussen|Alan Tudyk;2019-05-23T17:00:00-07:00
https://www.rottentomatoes.com/m/good_morning_vietnam;90;82;Comedy|Drama;Barry Levinson;121 minutes;Buena Vista Pictures;Robin Williams|Forest Whitaker|Bruno Kirby|J.T. Walsh|Tung Thanh Tran|Chintara Sukapatana;1987-12-22T16:00:00-08:00
https://www.rottentomatoes.com/m/parasite_2019;99;93;Art House & International|Drama;Bong Joon Ho;132 minutes;NEON;Song Kang Ho|Lee Sun Kyun|Cho Yeo Jeong|Choi Woo Sik|Park So Dam|Lee Jung Eun;2019-10-10T17:00:00-07:00
https://www.rottentomatoes.com/m/it_chapter_two;63;78;Horror;Andy Muschietti;132 minutes;New Line Cinema;James McAvoy|Jessica Chastain|Bill Hader|Isaiah Mustafa|Jay Ryan|James Ransone;2019-09-05T17:00:00-07:00
https://www.rottentomatoes.com/m/crazy_rich_asians;91;76;Comedy;Jon M. Chu;120 minutes;Warner Bros. Pictures;Constance Wu|Henry Golding|Michelle Yeoh|Gemma Chan|Lisa Lu|Awkwafina;2018-08-14T17:00:00-07:00
https://www.rottentomatoes.com/m/love_simon;92;88;Drama;Greg Berlanti;109 minutes;20th Century Fox;Nick Robinson|Katherine Langford|Alexandra Shipp|Josh Duhamel|Logan Miller|Jorge Lendeborg Jr.;2018-03-15T17:00:00-07:00
https://www.rottentomatoes.com/m/shoplifters;99;91;Art House & International|Drama;Hirokazu Koreeda;121 minutes;Magnolia Pictures;Lily Franky|Sakura Andô|Mayu Matsuoka|Kirin Kiki|Jyo Kairi|Sosuke Ikematsu;2018-11-22T16:00:00-08:00
https://www.rottentomatoes.com/m/booksmart;97;77;Comedy;Olivia Wilde;105 minutes;United Artists;Kaitlyn Dever|Beanie Feldstein|Jessica Williams|Lisa Kudrow|Will Forte|Jason Sudeikis;2019-05-23T17:00:00-07:00
https://www.rottentomatoes.com/m/at_the_end_of_the_tunnel;80;74;Comedy;Rodrigo Grande;120 minutes;Telefe;Leonardo Sbaraglia|Pablo Echarri|Clara Lago|Federico Luppi|Aura Garrido|Javier Godino;2019-05-23T17:00:00-07:00
https://www.rottentomatoes.com/m/the_lion_king_2019;53;88;Action & Adventure|Animation|Drama;Jon Favreau;110 minutes;Walt Disney Pictures;Donald Glover|James Earl Jones|Billy Eichner|Seth Rogen|Chiwetel Ejiofor|Beyoncé Knowles;2019-07-18T17:00:00-07:00
https://www.rottentomatoes.com/m/cube;63;76;Horror|Science Fiction & Fantasy;Vincenzo Natali;90 minutes;Trimark Pictures;Nicole de Boer|Nicky Guadagni|David Hewlett|Maurice Dean Wint|Wayne Robson|Andrew Miller;1998-09-10T17:00:00-07:00
https://www.rottentomatoes.com/m/always_be_my_maybe_2019;90;82;Comedy;Nahnatchka Khan;102 minutes;Netflix;Ali Wong|Randall Park|Keanu Reeves|Michelle Buteau|Vivian Bang|Karan Soni;2019-05-30T17:00:00-07:00
https://www.rottentomatoes.com/m/the_girl_on_the_train_2016;44;49;Drama|Mystery & Suspense;Tate Taylor;112 minutes;Universal Pictures;Emily Blunt|Rebecca Ferguson|Haley Bennett|Justin Theroux|Allison Janney|Lisa Kudrow;2016-10-06T17:00:00-07:00
https://www.rottentomatoes.com/m/a_river_below;100;82;Documentary;Mark Grieco;86 minutes;Sandarba;Fernando Trujillo|Richard Rasmussen;2017-11-02T17:00:00-07:00
https://www.rottentomatoes.com/m/julieta_2016;84;74;Art House & International|Drama;Pedro Almodóvar;96 minutes;El Deseo;Emma Suárez|Adriana Ugarte|Daniel Grao|Inma Cuesta|Darío Grandinetti|Michelle Jenner;2016-12-20T16:00:00-08:00
https://www.rottentomatoes.com/m/toy_story_4;97;94;Animation|Comedy|Kids & Family|Science Fiction & Fantasy;Josh Cooley;90 minutes;Disney/Pixar;Tom Hanks|Tim Allen|Annie Potts|Tony Hale|Keegan-Michael Key|Jordan Peele;2019-06-20T17:00:00-07:00
https://www.rottentomatoes.com/m/raw_2017;92;76;Horror;Julia Ducournau;98 minutes;Petit Film;Garance Marillier|Ella Rumpf|Rabah Nait Oufella|Laurent Lucas|Joana Preiss|Bouli Lanners;2017-03-09T16:00:00-08:00
https://www.rottentomatoes.com/m/the_lobster;88;65;Comedy|Cult Movies|Drama|Science Fiction & Fantasy;Yorgos Lanthimos;118 minutes;A24 Films;Colin Farrell|Rachel Weisz|Léa Seydoux|Ben Whishaw|John C. Reilly|Olivia Colman;2016-05-12T17:00:00-07:00
https://www.rottentomatoes.com/m/candelaria;;71;Art House & International|Drama;Jhonny Hendrix;118 minutes;A24 Films;Manuel Viveros|Alden Knigth|Veronica Lynn|Philipp Hochmair;2016-05-12T17:00:00-07:00
https://www.rottentomatoes.com/m/oblivion_2013;53;61;Action & Adventure|Science Fiction & Fantasy;Joseph Kosinski;125 minutes;Universal Pictures;Tom Cruise|Olga Kurylenko|Morgan Freeman|Andrea Riseborough|Nikolaj Coster-Waldau|Melissa Leo;2013-04-18T17:00:00-07:00
https://www.rottentomatoes.com/m/eighth_grade;99;83;Comedy;Bo Burnham;94 minutes;A24;Elsie Fisher|Josh Hamilton|Emily Robinson|Jake Ryan|Missy Yager|Daniel Zolghadri;2018-08-02T17:00:00-07:00
https://www.rottentomatoes.com/m/dumbo_2019;47;49;Animation|Kids & Family|Science Fiction & Fantasy;Tim Burton;112 minutes;Walt Disney Pictures;Colin Farrell|Danny DeVito|Eva Green|Michael Keaton|Deobia Oparei|Alan Arkin;2019-03-28T17:00:00-07:00
https://www.rottentomatoes.com/m/private_life_2018;94;76;Drama;Tamara Jenkins;123 minutes;Netflix;Kathryn Hahn|Paul Giamatti|Molly Shannon|Kayli Carter|Siobhan Fallon Hogan;2018-10-04T17:00:00-07:00
https://www.rottentomatoes.com/m/el_fotografo_de_mauthausen;86;76;Art House & International|Drama|Mystery & Suspense;Mar Targarona;123 minutes;Netflix;Mario Casas|Alain Hernández|Macarena Gomez|Marc Rodríguez|Joan Negrié|Rubén Yuste;2018-10-04T17:00:00-07:00
https://www.rottentomatoes.com/m/the_boy_who_harnessed_the_wind;86;89;Art House & International|Drama;Chiwetel Ejiofor;113 minutes;Netflix;Maxwell Simba|Chiwetel Ejiofor|Aïssa Maïga|Lily Banda|Lemogang Tsipa|Philbert Falakeza;2019-02-28T16:00:00-08:00
https://www.rottentomatoes.com/m/green_book;78;91;Drama;Peter Farrelly;130 minutes;Universal Pictures;Maxwell Simba|Chiwetel Ejiofor|Aïssa Maïga|Lily Banda|Lemogang Tsipa|Philbert Falakeza;2018-11-20T16:00:00-08:00
https://www.rottentomatoes.com/m/alone_2018;75;;Action & Adventure|Art House & International|Drama|Romance;Hugo Stuven;91 minutes;Universal Pictures;Alain Hernández|Aura Garrido|Ben Temple;2018-11-20T16:00:00-08:00
https://www.rottentomatoes.com/m/black_panther_2018;97;79;Action & Adventure|Drama|Science Fiction & Fantasy;Ryan Coogler;135 minutes;Marvel Studios;Chadwick Boseman|Michael B. Jordan|Lupita Nyong'o|Danai Gurira|Martin Freeman|Daniel Kaluuya;2018-02-15T16:00:00-08:00
https://www.rottentomatoes.com/m/blackkklansman;96;82;Comedy|Drama;Spike Lee;135 minutes;Focus Features;John David Washington|Adam Driver|Laura Harrier|Topher Grace|Jasper Pääkkönen|Ryan Eggold;2018-08-09T17:00:00-07:00
