Title;Year;Rating;Date Rated;URL;Poster URL
Aladdin;2019;3;27/10/2019;https://www.rottentomatoes.com/m/aladdin;https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14596224_p_v12_ag.jpg
Good morning vietnam;1987;4;27/10/2019;https://www.rottentomatoes.com/m/good_morning_vietnam;https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p10544_p_v8_ad.jpg
Parasite;2019;5;17/10/2019;https://www.rottentomatoes.com/m/parasite_2019;https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p16965677_p_v8_ad.jpg
It: chapter two;2019;3.5;13/10/2019;https://www.rottentomatoes.com/m/it_chapter_two;https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14624901_p_v13_ag.jpg
Crazy rich asians;2018;4;13/10/2019;https://www.rottentomatoes.com/m/crazy_rich_asians;https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14775182_p_v8_ab.jpg
Love simon;2018;4.5;13/10/2019;https://www.rottentomatoes.com/m/love_simon;https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14651974_p_v8_aa.jpg
Manbiki kazoku;2018;4.5;13/10/2019;https://www.rottentomatoes.com/m/shoplifters;https://www.rottentomatoes.com/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Booksmart;2019;4;14/08/2019;https://www.rottentomatoes.com/m/booksmart;https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p16367922_p_v13_aa.jpg
Al final del túnel;2016;4;14/08/2019;https://www.rottentomatoes.com/m/at_the_end_of_the_tunnel;https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p13057137_p_v8_ac.jpg
The lion king;2019;4.5;14/08/2019;https://www.rottentomatoes.com/m/the_lion_king_2019;https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14113286_p_v13_ac.jpg
