href,tomatometer,audience_score,genre,director,runtime,studio,cast,date
https://www.rottentomatoes.com/m/insidious,66,62,Horror,James Wan,102 minutes,FilmDistrict,Patrick Wilson|Rose Byrne|Ty Simpkins|Lin Shaye|Leigh Whannell|Angus Sampson,2011-03-31T17:00:00-07:00
https://www.rottentomatoes.com/m/annabelle,29,36,Horror,John R. Leonetti,98 minutes,New Line Cinema,Annabelle Wallis|Ward Horton|Alfre Woodard|Tony Amendola|Eric Ladin|Kerry O'Malley,2014-10-02T17:00:00-07:00
https://www.rottentomatoes.com/m/simpsons_movie,88,77,Animation|Comedy,David Silverman,86 minutes,20th Century Fox,Julie Kavner|Dan Castellaneta|Nancy Cartwright|Yeardley Smith|Harry Shearer|Marcia Wallace,2007-07-26T17:00:00-07:00
https://www.rottentomatoes.com/m/home_alone_2_lost_in_new_york,32,61,Comedy|Kids & Family,Chris Columbus,120 minutes,20th Century Fox,Macaulay Culkin|Joe Pesci|Daniel Stern|Catherine O'Hara|John Heard|Devin Ratray,1992-11-14T16:00:00-08:00
https://www.rottentomatoes.com/m/good_morning_vietnam,90,82,Comedy|Drama,Barry Levinson,121 minutes,Buena Vista Pictures,Robin Williams|Forest Whitaker|Bruno Kirby|J.T. Walsh|Tung Thanh Tran|Chintara Sukapatana,1987-12-22T16:00:00-08:00
https://www.rottentomatoes.com/m/amelie,89,95,Comedy|Drama,Barry Levinson,121 minutes,Buena Vista Pictures,Robin Williams|Forest Whitaker|Bruno Kirby|J.T. Walsh|Tung Thanh Tran|Chintara Sukapatana,1987-12-22T16:00:00-08:00
https://www.rottentomatoes.com/m/toy_story_4,97,94,Comedy|Drama,Barry Levinson,121 minutes,Buena Vista Pictures,Robin Williams|Forest Whitaker|Bruno Kirby|J.T. Walsh|Tung Thanh Tran|Chintara Sukapatana,1987-12-22T16:00:00-08:00
https://www.rottentomatoes.com/m/call_me_by_your_name,95,86,Comedy|Drama,Barry Levinson,121 minutes,Buena Vista Pictures,Robin Williams|Forest Whitaker|Bruno Kirby|J.T. Walsh|Tung Thanh Tran|Chintara Sukapatana,1987-12-22T16:00:00-08:00
https://www.rottentomatoes.com/m/paterson,96,71,Comedy|Drama,Jim Jarmusch,115 minutes,K5 International,Adam Driver|Golshifteh Farahani|Barry Shabaka Henley|Chasten Harmon|William Jackson Harper|Brian McCarthy,2016-12-27T16:00:00-08:00
https://www.rottentomatoes.com/m/dumbo,98,70,Animation|Kids & Family|Science Fiction & Fantasy,Sam Armstrong|Jack Kinney|Norman Ferguson|Wilfred Jackson|Bill Roberts|Ben Sharpsteen|Samuel Armstrong,63 minutes,Walt Disney Productions,Sterling Holloway|Jesper Klein|Edward S. Brophy|Lily Broberg|Herman Bing|Poul Bundgaard,1941-10-22T16:00:00-08:00
